periodId,start_time,end_time,Desc
1,0:00:00,1:59:59,12 AM to 2 AM
2,2:00:00,3:59:59,2 AM to 4 AM
3,4:00:00,5:59:59,4 AM to 6 AM
4,6:00:00,7:59:59,6 AM to 8 AM
5,8:00:00,9:59:59,8 AM to 10 AM
6,10:00:00,11:59:59,10 AM to 12 PM
7,12:00:00,13:59:59,12 PM to 2 PM
8,14:00:00,15:59:59,2 PM to 4 PM
9,16:00:00,17:59:59,4 PM to 6 PM
10,18:00:00,19:59:59,6 PM to 8 PM
11,20:00:00,21:59:59,8 PM to 10 PM
12,22:00:00,23:59:59,10 PM to midnight
